rank,feature,mean_abs_shap_value
1,Dep Hour,0.4054755205457704
2,Year,0.17148040053282634
3,Op Unique Carrier Wn,0.0876649559919687
4,Day Of Week,0.07766201666272939
5,Op Unique Carrier Yx,0.06697737446459004
6,Op Unique Carrier Dl,0.050883677811386176
7,Distance,0.050231564579948214
8,Op Unique Carrier Ua,0.04902415051144041
9,Is Peak Hour,0.043141773840656046
10,Origin State Abr Co,0.034032206959343454
11,Op Unique Carrier Oo,0.027386430012013584
12,Origin State Abr Hi,0.02360769382769211
13,Op Unique Carrier Mq,0.020510958565998483
14,Origin State Abr Il,0.019575943666526794
15,Op Unique Carrier 9E,0.01876238806742978
16,Op Unique Carrier B6,0.01829817041084451
17,Origin State Abr Ca,0.018061201225578267
18,Op Unique Carrier F9,0.017023751356628612
19,Origin State Abr Nj,0.01677387026300406
20,Dest State Abr Nj,0.01523644834135466
21,Dest State Abr Fl,0.013265410734745057
22,Origin State Abr Ak,0.012976215343282803
23,Dest State Abr Ny,0.012717346511565168
24,Dest State Abr Az,0.011514194677210373
25,Origin State Abr Az,0.011271386579205026
26,Dest State Abr Ca,0.01125356330639733
27,Origin State Abr Ny,0.010515665666970904
28,Dest State Abr Il,0.009703921201131857
29,Origin State Abr Tx,0.009254584127541833
30,Origin State Abr Ut,0.00883391652522272
31,Origin State Abr Ma,0.008490431282837337
32,Op Unique Carrier Oh,0.00845632000720857
33,Route Bna Sfo,0.008376672662032899
34,Op Unique Carrier Aa,0.008166605308346918
35,Op Unique Carrier Ha,0.008108202880617022
36,Route Fai Sea,0.007881739269528567
37,Dest State Abr Tx,0.00766435952333452
38,Route Anc Phx,0.006889803388441894
39,Route Rdu Iad,0.006677035710120428
40,Route Abq Sfo,0.006119814619625293
41,Route Fll Jfk,0.005950126311152226
42,Route Rno Oak,0.00550633251823377
43,Route Dfw Sfo,0.0052940525931984665
44,Origin State Abr Or,0.005265301524919887
45,Route Sfo Pdx,0.005139567191750234
46,Route Sjc Lax,0.0050620876257986515
47,Op Unique Carrier Nk,0.0050019010021252995
48,Dest State Abr Ut,0.004822142870310515
49,Origin State Abr Wa,0.004807974835348038
50,Route Mem Ord,0.004735183243285942
51,Route Cmh Iah,0.004590600815669914
52,Route Phx Flg,0.004508605130964774
53,Route Phx Fsd,0.004464117080309092
54,Route Ord Elp,0.00424902044455412
55,Route Pdx Dtw,0.004021953080809185
56,Dest State Abr Co,0.004014410807392658
57,Op Unique Carrier G4,0.003843296869961066
58,Route Dtw Sdf,0.0037069908057367766
59,Origin State Abr Fl,0.0036065506544136765
60,Origin State Abr Ga,0.0035334500676805626
61,Route Sfo Sea,0.00351113901141045
62,Dest State Abr Ma,0.0034235878773733242
63,Route Infrequent Sklearn,0.0033664301001646215
64,Route Dfw Atl,0.0033326278976153288
65,Route Sea Stl,0.003288749946921719
66,Route Las Slc,0.0032684891617975544
67,Route Sna Sfo,0.003203626246682552
68,Dest State Abr Sd,0.0031975783368545525
69,Route Dal Atl,0.003183612837579423
70,Route Dfw Lrd,0.0031613341501160862
71,Origin State Abr Wy,0.0031193373329624725
72,Route Cle Lga,0.0031131643275119562
73,Dest State Abr Mi,0.0030804627847060445
74,Origin State Abr Md,0.0029966738511346992
75,Dest State Abr Mo,0.0029963943621279126
76,Route Mia Lga,0.002994830551654685
77,Origin State Abr Va,0.002989759293419234
78,Origin State Abr La,0.002967622511689883
79,Dest State Abr Wa,0.002955341439964758
80,Route Tus Ord,0.0029526807892049246
81,Origin State Abr Mn,0.0029295236835241143
82,Origin State Abr Ok,0.0029148056483372766
83,Origin State Abr Pr,0.002854550594695871
84,Dest State Abr Nc,0.002823984017820705
85,Route Tpa Las,0.0027831330331453286
86,Route Dfw Msp,0.0027246070627873105
87,Route Oak Phx,0.002708014005231197
88,Route Mci Mco,0.002695429751073819
89,Route Sju Ewr,0.0025920117779706956
90,Route Sit Jnu,0.002551909935985682
91,Dest State Abr Or,0.0023628828885500527
92,Origin State Abr Id,0.0023565933099502358
93,Route Las Phx,0.0023290881407722966
94,Origin State Abr Ar,0.0022981299451991124
95,Origin State Abr Nc,0.002248611787940133
96,Route Boi Den,0.0021338165601226663
97,Route Dfw Ord,0.0021230203194657917
98,Route Dtw Sea,0.002116510704404526
99,Route Den Atl,0.0020601758149307358
100,Route Ags Atl,0.001999939341223057
101,Route Boi Las,0.0019832453965943106
102,Route Fll Iah,0.0019737649802553684
103,Op Unique Carrier Yv,0.0018969184805436969
104,Op Unique Carrier As,0.0018450584593646836
105,Route Mke Dca,0.0018313267653757696
106,Origin State Abr Pa,0.0018179724368042917
107,Dest State Abr Hi,0.0017882800909156996
108,Route Smf San,0.0017230870103322575
109,Route Jfk Cle,0.0017167301101641036
110,Origin State Abr Oh,0.0016961348686742488
111,Route Cmh Msp,0.001659534818353694
112,Dest State Abr Pr,0.0016498321127345152
113,Dest State Abr La,0.0016392907055251974
114,Route Oak Bur,0.00160056108501222
115,Route Phx Sfo,0.0015592796897118757
116,Dest State Abr Md,0.0015584563028390552
117,Route Tul Den,0.001512083999553864
118,Route San Atl,0.001491453582094455
119,Dest State Abr Va,0.0014425465448273127
120,Route Iad Dfw,0.0014165342967675837
