"year","airline_name","avg_arr_delay_when_delayed","avg_dep_delay_when_delayed","total_flights"
2019,"Alaska Airlines","51.98","43.62","261015"
2022,"Alaska Airlines","51.27","43.25","221491"
2023,"Alaska Airlines","49.91","42.72","242643"
2024,"Alaska Airlines","50.53","43.65","240323"
2025,"Alaska Airlines","51.37","43.88","241927"
2019,"Allegiant Air","69.90","64.25","104443"
2022,"Allegiant Air","68.28","60.53","112466"
2023,"Allegiant Air","80.34","72.78","114425"
2024,"Allegiant Air","88.73","83.85","114882"
2025,"Allegiant Air","85.39","78.52","129892"
2019,"American Airlines","67.13","61.75","924242"
2022,"American Airlines","75.92","71.81","845937"
2023,"American Airlines","85.55","81.63","928058"
2024,"American Airlines","85.72","82.18","966116"
2025,"American Airlines","83.30","78.57","952841"
2019,"Delta Air Lines","68.34","63.14","988025"
2022,"Delta Air Lines","69.28","66.83","877192"
2023,"Delta Air Lines","71.44","69.04","972931"
2024,"Delta Air Lines","71.95","68.21","997846"
2025,"Delta Air Lines","73.28","68.65","1012427"
2019,"Endeavor Air","79.48","74.80","252348"
2022,"Endeavor Air","79.40","71.73","223247"
2023,"Endeavor Air","75.92","70.78","196905"
2024,"Endeavor Air","79.92","73.85","195072"
2019,"Envoy Air","65.05","56.20","314658"
2022,"Envoy Air","60.84","53.14","241939"
2023,"Envoy Air","58.63","49.70","224695"
2024,"Envoy Air","64.62","56.77","275317"
2025,"Envoy Air","63.29","53.68","291835"
2019,"ExpressJet Airlines","87.12","79.71","128180"
2019,"Frontier Airlines","68.44","65.55","133061"
2022,"Frontier Airlines","72.18","69.42","150747"
2023,"Frontier Airlines","77.99","74.56","173459"
2024,"Frontier Airlines","79.40","74.32","203482"
2025,"Frontier Airlines","84.41","79.34","194192"
2019,"Hawaiian Airlines","40.25","32.16","83689"
2022,"Hawaiian Airlines","45.55","41.36","73102"
2023,"Hawaiian Airlines","47.77","41.70","79842"
2024,"Hawaiian Airlines","46.19","40.80","77633"
2025,"Hawaiian Airlines","53.00","48.28","79335"
2022,"Horizon Air","52.56","47.89","87121"
2019,"JetBlue Airways","81.27","78.57","292724"
2022,"JetBlue Airways","77.25","73.79","261862"
2023,"JetBlue Airways","84.65","81.85","267915"
2024,"JetBlue Airways","78.70","75.46","235683"
2025,"JetBlue Airways","76.14","70.94","226703"
2019,"Mesa Airlines","80.98","77.12","220586"
2022,"Mesa Airlines","90.86","89.52","110665"
2019,"PSA Airlines","68.39","65.10","281647"
2022,"PSA Airlines","72.76","67.03","207258"
2023,"PSA Airlines","74.41","68.31","191072"
2024,"PSA Airlines","83.55","78.04","223673"
2025,"PSA Airlines","91.06","85.64","236682"
2019,"Republic Airways","69.62","60.31","320615"
2022,"Republic Airways","68.28","58.26","300851"
2023,"Republic Airways","65.50","55.28","286490"
2024,"Republic Airways","67.48","56.60","295306"
2025,"Republic Airways","71.86","60.24","334044"
2019,"SkyWest Airlines","84.62","80.37","815839"
2022,"SkyWest Airlines","81.37","77.50","718249"
2023,"SkyWest Airlines","77.77","72.16","664861"
2024,"SkyWest Airlines","80.37","75.35","733886"
2025,"SkyWest Airlines","83.81","77.12","825202"
2019,"Southwest Airlines","51.89","52.40","1327562"
2022,"Southwest Airlines","51.46","52.45","1261865"
2023,"Southwest Airlines","49.69","48.68","1421238"
2024,"Southwest Airlines","53.96","53.12","1404597"
2025,"Southwest Airlines","56.98","56.70","1376837"
2019,"Spirit Airlines","69.89","66.66","200891"
2022,"Spirit Airlines","66.86","61.87","225032"
2023,"Spirit Airlines","71.60","68.24","258838"
2024,"Spirit Airlines","70.25","67.70","255633"
2025,"Spirit Airlines","74.37","70.67","191191"
2019,"United Airlines","75.63","69.62","618707"
2022,"United Airlines","71.18","68.10","612989"
2023,"United Airlines","71.03","66.91","720032"
2024,"United Airlines","72.71","68.14","745818"
2025,"United Airlines","72.54","64.87","786377"
