"airline_name","total_flights","avg_dep_delay","avg_arr_delay","time_recovered"
"JetBlue Airways","1339044","19.84","14.08","-5.76"
"American Airlines","4840547","16.97","11.71","-5.26"
"Spirit Airlines","1164786","15.06","9.58","-5.48"
"PSA Airlines","1193638","13.10","9.26","-3.84"
"SkyWest Airlines","3953437","11.51","7.08","-4.43"
"United Airlines","3674257","12.23","6.44","-5.79"
"Envoy Air","1419675","8.69","5.39","-3.30"
"Southwest Airlines","7112899","12.09","5.23","-6.86"
"Alaska Airlines","1284036","6.80","3.34","-3.46"
"Delta Air Lines","5080406","9.98","3.15","-6.83"
"Republic Airways","1619720","7.02","2.44","-4.58"
