"airline_name","avg_carrier_delay","avg_weather_delay","avg_nas_delay","avg_security_delay","avg_late_aircraft_delay"
"JetBlue Airways","8.40","0.59","4.61","0.04","8.91"
"SkyWest Airlines","7.50","2.05","2.07","0.02","3.76"
"American Airlines","6.58","0.99","2.89","0.03","8.62"
"Delta Air Lines","5.47","0.62","2.42","0.01","3.49"
"PSA Airlines","4.92","1.30","2.47","0.03","8.46"
"Spirit Airlines","4.65","0.58","6.94","0.10","4.90"
"United Airlines","4.27","0.76","3.92","0.00","5.88"
"Southwest Airlines","3.33","0.27","1.89","0.03","5.58"
"Alaska Airlines","3.18","0.41","2.98","0.05","3.97"
"Republic Airways","3.04","0.73","4.13","0.01","4.46"
"Envoy Air","2.90","1.35","2.96","0.02","5.28"
