"airline_name","total_flights","delayed_flights","delay_rate_pct"
"JetBlue Airways","1339044","379366","28.33"
"Spirit Airlines","1164786","282755","24.28"
"American Airlines","4840547","1149929","23.76"
"PSA Airlines","1193638","255658","21.42"
"Southwest Airlines","7112899","1496706","21.04"
"Alaska Airlines","1284036","265367","20.67"
"United Airlines","3674257","750398","20.42"
"Envoy Air","1419675","280868","19.78"
"SkyWest Airlines","3953437","734910","18.59"
"Republic Airways","1619720","290228","17.92"
"Delta Air Lines","5080406","858926","16.91"
