"year","airline_name","total_flights","delay_rate_pct"
2019,"Alaska Airlines","261015","18.53"
2022,"Alaska Airlines","221491","20.32"
2023,"Alaska Airlines","242643","19.64"
2024,"Alaska Airlines","240323","22.07"
2025,"Alaska Airlines","241927","23.10"
2019,"Allegiant Air","104443","20.62"
2022,"Allegiant Air","112466","34.12"
2023,"Allegiant Air","114425","25.91"
2024,"Allegiant Air","114882","21.67"
2025,"Allegiant Air","129892","24.97"
2019,"American Airlines","924242","21.11"
2022,"American Airlines","845937","22.56"
2023,"American Airlines","928058","23.04"
2024,"American Airlines","966116","26.13"
2025,"American Airlines","952841","25.71"
2019,"Delta Air Lines","988025","14.48"
2022,"Delta Air Lines","877192","15.97"
2023,"Delta Air Lines","972931","16.37"
2024,"Delta Air Lines","997846","17.26"
2025,"Delta Air Lines","1012427","19.79"
2019,"Endeavor Air","252348","17.54"
2022,"Endeavor Air","223247","16.34"
2023,"Endeavor Air","196905","13.92"
2024,"Endeavor Air","195072","15.83"
2019,"Envoy Air","314658","20.93"
2022,"Envoy Air","241939","17.31"
2023,"Envoy Air","224695","18.15"
2024,"Envoy Air","275317","20.86"
2025,"Envoy Air","291835","21.04"
2019,"ExpressJet Airlines","128180","25.78"
2019,"Frontier Airlines","133061","25.49"
2022,"Frontier Airlines","150747","31.83"
2023,"Frontier Airlines","173459","31.43"
2024,"Frontier Airlines","203482","28.74"
2025,"Frontier Airlines","194192","27.91"
2019,"Hawaiian Airlines","83689","11.44"
2022,"Hawaiian Airlines","73102","23.43"
2023,"Hawaiian Airlines","79842","23.74"
2024,"Hawaiian Airlines","77633","15.45"
2025,"Hawaiian Airlines","79335","17.28"
2022,"Horizon Air","87121","16.64"
2019,"JetBlue Airways","292724","25.33"
2022,"JetBlue Airways","261862","32.60"
2023,"JetBlue Airways","267915","31.19"
2024,"JetBlue Airways","235683","25.51"
2025,"JetBlue Airways","226703","26.15"
2019,"Mesa Airlines","220586","21.17"
2022,"Mesa Airlines","110665","19.69"
2019,"PSA Airlines","281647","19.79"
2022,"PSA Airlines","207258","19.33"
2023,"PSA Airlines","191072","16.62"
2024,"PSA Airlines","223673","21.77"
2025,"PSA Airlines","236682","27.53"
2019,"Republic Airways","320615","19.25"
2022,"Republic Airways","300851","19.59"
2023,"Republic Airways","286490","13.07"
2024,"Republic Airways","295306","14.07"
2025,"Republic Airways","334044","21.51"
2019,"SkyWest Airlines","815839","18.77"
2022,"SkyWest Airlines","718249","16.65"
2023,"SkyWest Airlines","664861","16.26"
2024,"SkyWest Airlines","733886","19.00"
2025,"SkyWest Airlines","825202","20.72"
2019,"Southwest Airlines","1327562","17.56"
2022,"Southwest Airlines","1261865","24.19"
2023,"Southwest Airlines","1421238","21.81"
2024,"Southwest Airlines","1404597","20.60"
2025,"Southwest Airlines","1376837","21.40"
2019,"Spirit Airlines","200891","18.91"
2022,"Spirit Airlines","225032","24.65"
2023,"Spirit Airlines","258838","29.14"
2024,"Spirit Airlines","255633","23.93"
2025,"Spirit Airlines","191191","21.41"
2019,"United Airlines","618707","21.36"
2022,"United Airlines","612989","19.25"
2023,"United Airlines","720032","20.61"
2024,"United Airlines","745818","19.86"
2025,"United Airlines","786377","21.47"
