"airport","delay_rate","total_flights","delayed_flights_count","avg_dep_delay"
"MIA (Miami, FL)","25.71","539635","138725","16.68"
"MCO (Orlando, FL)","25.69","798735","205164","16.81"
"DFW (Dallas/Fort Worth, TX)","25.42","1525496","387807","16.27"
"EWR (Newark, NJ)","24.66","660548","162880","16.11"
"ORD (Chicago, IL)","24.38","1510713","368322","14.95"
"DEN (Denver, CO)","24.37","1486483","362311","14.96"
"CLT (Charlotte, NC)","23.21","1056447","245238","13.85"
"JFK (New York, NY)","23.13","631304","145994","14.55"
"LAS (Las Vegas, NV)","22.78","931112","212093","13.08"
"BOS (Boston, MA)","22.42","728147","163224","13.70"
"LGA (New York, NY)","22.23","804673","178854","13.20"
"PHL (Philadelphia, PA)","22.04","504580","111188","13.17"
"DCA (Washington, DC)","21.85","716391","156519","12.80"
"IAH (Houston, TX)","21.67","667179","144566","14.41"
"SFO (San Francisco, CA)","20.00","737118","147460","11.91"
"SEA (Seattle, WA)","19.92","833479","166046","8.91"
"ATL (Atlanta, GA)","19.36","1755247","339884","11.06"
"PHX (Phoenix, AZ)","19.20","947093","181878","11.04"
"DTW (Detroit, MI)","18.77","686377","128817","11.22"
"MSP (Minneapolis, MN)","18.10","658450","119186","10.01"
"LAX (Los Angeles, CA)","18.08","1020823","184578","10.32"
"SLC (Salt Lake City, UT)","15.86","587113","93126","8.18"
