"origin","origin_city_name","delay_rate","total_flights","delayed_flights_count","avg_dep_delay","origin_state_abr"
"MIA","Miami, FL","25.71","539635","138725","16.68","FL"
"MCO","Orlando, FL","25.69","798735","205164","16.81","FL"
"DFW","Dallas/Fort Worth, TX","25.42","1525496","387807","16.27","TX"
"EWR","Newark, NJ","24.66","660548","162880","16.11","NJ"
"ORD","Chicago, IL","24.38","1510713","368322","14.95","IL"
"DEN","Denver, CO","24.37","1486483","362311","14.96","CO"
"CLT","Charlotte, NC","23.21","1056447","245238","13.85","NC"
"JFK","New York, NY","23.13","631304","145994","14.55","NY"
"LAS","Las Vegas, NV","22.78","931112","212093","13.08","NV"
"BOS","Boston, MA","22.42","728147","163224","13.70","MA"
"LGA","New York, NY","22.23","804673","178854","13.20","NY"
"PHL","Philadelphia, PA","22.04","504580","111188","13.17","PA"
"DCA","Washington, DC","21.85","716391","156519","12.80","VA"
"IAH","Houston, TX","21.67","667179","144566","14.41","TX"
"SFO","San Francisco, CA","20.00","737118","147460","11.91","CA"
"SEA","Seattle, WA","19.92","833479","166046","8.91","WA"
"ATL","Atlanta, GA","19.36","1755247","339884","11.06","GA"
"PHX","Phoenix, AZ","19.20","947093","181878","11.04","AZ"
"DTW","Detroit, MI","18.77","686377","128817","11.22","MI"
"MSP","Minneapolis, MN","18.10","658450","119186","10.01","MN"
"LAX","Los Angeles, CA","18.08","1020823","184578","10.32","CA"
"SLC","Salt Lake City, UT","15.86","587113","93126","8.18","UT"
