"fl_date","total_flights","delayed_flights","delay_rate"
"2019-01-01","17844","3844","21.54"
"2019-01-02","20170","5203","25.80"
"2019-01-03","19341","3601","18.62"
"2019-01-04","19467","2474","12.71"
"2019-01-05","16643","2676","16.08"
"2019-01-06","19096","3790","19.85"
"2019-01-07","19851","3009","15.16"
"2019-01-08","18579","1888","10.16"
"2019-01-09","19045","1969","10.34"
"2019-01-10","19756","2830","14.32"
"2019-01-11","19827","3184","16.06"
"2019-01-12","14943","2250","15.06"
"2019-01-13","17779","2883","16.22"
"2019-01-14","19661","2978","15.15"
"2019-01-15","18382","2848","15.49"
"2019-01-16","18756","2422","12.91"
"2019-01-17","19713","3947","20.02"
"2019-01-18","19534","4278","21.90"
"2019-01-19","13382","2691","20.11"
"2019-01-20","15663","3290","21.00"
"2019-01-21","18858","5073","26.90"
"2019-01-22","17395","3929","22.59"
"2019-01-23","18458","5037","27.29"
"2019-01-24","19503","6084","31.20"
"2019-01-25","19826","4494","22.67"
"2019-01-26","15178","2025","13.34"
"2019-01-27","18322","3447","18.81"
"2019-01-28","18435","3290","17.85"
"2019-01-29","17482","2550","14.59"
"2019-01-30","16914","3451","20.40"
"2019-01-31","18160","3787","20.85"
"2019-02-01","19546","4884","24.99"
"2019-02-02","14532","2215","15.24"
"2019-02-03","16535","1696","10.26"
"2019-02-04","19716","3129","15.87"
"2019-02-05","18176","2484","13.67"
"2019-02-06","18679","3523","18.86"
"2019-02-07","19304","4725","24.48"
"2019-02-08","19750","4472","22.64"
"2019-02-09","15082","2147","14.24"
"2019-02-10","18120","4759","26.26"
"2019-02-11","19166","4530","23.64"
"2019-02-12","16762","5603","33.43"
"2019-02-13","18607","4945","26.58"
"2019-02-14","19993","4693","23.47"
"2019-02-15","20304","4463","21.98"
"2019-02-16","15726","2566","16.32"
"2019-02-17","17106","4248","24.83"
"2019-02-18","19901","5819","29.24"
"2019-02-19","19297","5153","26.70"
"2019-02-20","18081","7151","39.55"
"2019-02-21","19699","5580","28.33"
"2019-02-22","20061","5611","27.97"
"2019-02-23","15779","3552","22.51"
"2019-02-24","18303","3921","21.42"
"2019-02-25","19479","4881","25.06"
"2019-02-26","19254","3792","19.69"
"2019-02-27","19140","3771","19.70"
"2019-02-28","20216","5164","25.54"
"2019-03-01","20174","5698","28.24"
"2019-03-02","16455","4505","27.38"
"2019-03-03","18876","5738","30.40"
"2019-03-04","20035","4801","23.96"
"2019-03-05","19870","3765","18.95"
"2019-03-06","20197","3542","17.54"
"2019-03-07","20935","3813","18.21"
"2019-03-08","21047","4061","19.29"
"2019-03-09","17343","5451","31.43"
"2019-03-10","20172","5655","28.03"
"2019-03-11","21043","3034","14.42"
"2019-03-12","20401","3312","16.23"
"2019-03-13","19172","3644","19.01"
"2019-03-14","20088","4889","24.34"
"2019-03-15","20884","4590","21.98"
"2019-03-16","17635","2550","14.46"
"2019-03-17","20253","2321","11.46"
"2019-03-18","21037","1817","8.64"
"2019-03-19","20371","1688","8.29"
"2019-03-20","20591","2239","10.87"
"2019-03-21","21056","3166","15.04"
"2019-03-22","21008","4019","19.13"
"2019-03-23","17647","1980","11.22"
"2019-03-24","20193","2402","11.90"
"2019-03-25","20882","3228","15.46"
"2019-03-26","20392","2325","11.40"
"2019-03-27","20656","2492","12.06"
"2019-03-28","21072","2278","10.81"
"2019-03-29","21131","2485","11.76"
"2019-03-30","17652","1815","10.28"
"2019-03-31","20237","2974","14.70"
"2019-04-01","20928","5980","28.57"
"2019-04-02","20280","2048","10.10"
"2019-04-03","20514","2281","11.12"
"2019-04-04","21039","3526","16.76"
"2019-04-05","21140","3089","14.61"
"2019-04-06","17106","2638","15.42"
"2019-04-07","19811","4423","22.33"
"2019-04-08","20876","4230","20.26"
"2019-04-09","20190","3830","18.97"
"2019-04-10","19895","3058","15.37"
"2019-04-11","20387","3513","17.23"
"2019-04-12","21103","5282","25.03"
"2019-04-13","16133","3473","21.53"
"2019-04-14","18370","7025","38.24"
"2019-04-15","20565","5362","26.07"
"2019-04-16","20320","2062","10.15"
"2019-04-17","20302","2290","11.28"
"2019-04-18","21023","4987","23.72"
"2019-04-19","19800","6647","33.57"
"2019-04-20","16308","2817","17.27"
"2019-04-21","19540","2156","11.03"
"2019-04-22","21149","3372","15.94"
"2019-04-23","20215","2183","10.80"
"2019-04-24","20359","2635","12.94"
"2019-04-25","21120","2269","10.74"
"2019-04-26","20456","4599","22.48"
"2019-04-27","16234","2251","13.87"
"2019-04-28","20146","2538","12.60"
"2019-04-29","21000","4348","20.70"
"2019-04-30","19711","3606","18.29"
"2019-05-01","20226","2783","13.76"
"2019-05-02","20631","6499","31.50"
"2019-05-03","21021","5521","26.26"
"2019-05-04","16860","2841","16.85"
"2019-05-05","20198","4359","21.58"
"2019-05-06","21241","3546","16.69"
"2019-05-07","20224","3339","16.51"
"2019-05-08","20005","4773","23.86"
"2019-05-09","20933","4777","22.82"
"2019-05-10","21279","4279","20.11"
"2019-05-11","16435","3358","20.43"
"2019-05-12","19881","3685","18.54"
"2019-05-13","21191","4466","21.07"
"2019-05-14","20538","2420","11.78"
"2019-05-15","20802","2408","11.58"
"2019-05-16","21402","4338","20.27"
"2019-05-17","21458","3819","17.80"
"2019-05-18","16325","4081","25.00"
"2019-05-19","20157","5972","29.63"
"2019-05-20","21168","4888","23.09"
"2019-05-21","20306","5150","25.36"
"2019-05-22","21002","3155","15.02"
"2019-05-23","21085","6333","30.04"
"2019-05-24","21554","4635","21.50"
"2019-05-25","16620","1567","9.43"
"2019-05-26","17083","2213","12.95"
"2019-05-27","19839","3058","15.41"
"2019-05-28","20129","4454","22.13"
"2019-05-29","19362","4965","25.64"
"2019-05-30","20978","4978","23.73"
"2019-05-31","21406","3623","16.93"
"2019-06-01","17016","3157","18.55"
"2019-06-02","20218","4598","22.74"
"2019-06-03","21358","3463","16.21"
"2019-06-04","20715","2655","12.82"
"2019-06-05","20798","5243","25.21"
"2019-06-06","21624","4138","19.14"
"2019-06-07","21680","4406","20.32"
"2019-06-08","17726","4452","25.12"
"2019-06-09","20064","5891","29.36"
"2019-06-10","21173","6273","29.63"
"2019-06-11","21350","4645","21.76"
"2019-06-12","21532","4770","22.15"
"2019-06-13","21917","6256","28.54"
"2019-06-14","22005","3838","17.44"
"2019-06-15","18485","4095","22.15"
"2019-06-16","20132","6271","31.15"
"2019-06-17","21420","6257","29.21"
"2019-06-18","21118","6128","29.02"
"2019-06-19","21231","6878","32.40"
"2019-06-20","21272","6915","32.51"
"2019-06-21","21733","5956","27.41"
"2019-06-22","18621","4240","22.77"
"2019-06-23","20657","5837","28.26"
"2019-06-24","21667","6124","28.26"
"2019-06-25","21441","6102","28.46"
"2019-06-26","21739","4599","21.16"
"2019-06-27","21892","4909","22.42"
"2019-06-28","21885","5057","23.11"
"2019-06-29","18351","5071","27.63"
"2019-06-30","20067","5134","25.58"
"2019-07-01","20271","3518","17.35"
"2019-07-02","19662","3623","18.43"
"2019-07-03","19674","3666","18.63"
"2019-07-04","16435","2548","15.50"
"2019-07-05","17964","3695","20.57"
"2019-07-06","17960","4623","25.74"
"2019-07-07","21152","5891","27.85"
"2019-07-08","22011","6294","28.59"
"2019-07-09","21839","3323","15.22"
"2019-07-10","21559","3238","15.02"
"2019-07-11","20924","5613","26.83"
"2019-07-12","21929","4813","21.95"
"2019-07-13","18679","2830","15.15"
"2019-07-14","21348","3641","17.06"
"2019-07-15","22046","4112","18.65"
"2019-07-16","21822","4311","19.76"
"2019-07-17","21091","5669","26.88"
"2019-07-18","21016","7269","34.59"
"2019-07-19","21810","5586","25.61"
"2019-07-20","18777","5073","27.02"
"2019-07-21","21231","6359","29.95"
"2019-07-22","21290","5042","23.68"
"2019-07-23","21547","5479","25.43"
"2019-07-24","22010","4004","18.19"
"2019-07-25","22192","2814","12.68"
"2019-07-26","22248","2969","13.35"
"2019-07-27","19114","2206","11.54"
"2019-07-28","21578","2846","13.19"
"2019-07-29","21919","4792","21.86"
"2019-07-30","21603","4889","22.63"
"2019-07-31","21080","4894","23.22"
"2019-08-01","21808","6872","31.51"
"2019-08-02","21952","5870","26.74"
"2019-08-03","19067","3416","17.92"
"2019-08-04","21566","4582","21.25"
"2019-08-05","22278","3860","17.33"
"2019-08-06","21553","4779","22.17"
"2019-08-07","20284","5533","27.28"
"2019-08-08","21604","6296","29.14"
"2019-08-09","22160","4212","19.01"
"2019-08-10","18747","2406","12.83"
"2019-08-11","21454","3395","15.82"
"2019-08-12","21946","3220","14.67"
"2019-08-13","21304","4984","23.39"
"2019-08-14","21398","5817","27.18"
"2019-08-15","21735","5238","24.10"
"2019-08-16","21945","4724","21.53"
"2019-08-17","18258","4192","22.96"
"2019-08-18","20172","5548","27.50"
"2019-08-19","21405","5187","24.23"
"2019-08-20","20132","5987","29.74"
"2019-08-21","20702","4826","23.31"
"2019-08-22","21363","5197","24.33"
"2019-08-23","21663","5150","23.77"
"2019-08-24","17666","1816","10.28"
"2019-08-25","21006","2499","11.90"
"2019-08-26","21605","3600","16.66"
"2019-08-27","20689","3459","16.72"
"2019-08-28","21102","3101","14.70"
"2019-08-29","21812","2779","12.74"
"2019-08-30","21149","3099","14.65"
"2019-08-31","15826","1634","10.32"
"2019-09-01","16280","1444","8.87"
"2019-09-02","19454","2979","15.31"
"2019-09-03","18642","2644","14.18"
"2019-09-04","19027","2345","12.32"
"2019-09-05","20153","1943","9.64"
"2019-09-06","20369","2674","13.13"
"2019-09-07","16365","1214","7.42"
"2019-09-08","20484","2583","12.61"
"2019-09-09","21205","2954","13.93"
"2019-09-10","20041","3179","15.86"
"2019-09-11","20335","3545","17.43"
"2019-09-12","21077","5377","25.51"
"2019-09-13","21265","4566","21.47"
"2019-09-14","16765","1486","8.86"
"2019-09-15","20532","2891","14.08"
"2019-09-16","21295","2605","12.23"
"2019-09-17","20180","2955","14.64"
"2019-09-18","20393","3396","16.65"
"2019-09-19","20249","3753","18.53"
"2019-09-20","20960","3661","17.47"
"2019-09-21","16729","1608","9.61"
"2019-09-22","20656","2529","12.24"
"2019-09-23","21264","3083","14.50"
"2019-09-24","20250","1818","8.98"
"2019-09-25","20482","1606","7.84"
"2019-09-26","21435","3215","15.00"
"2019-09-27","20327","3333","16.40"
"2019-09-28","16575","2316","13.97"
"2019-09-29","20581","2989","14.52"
"2019-09-30","21346","2877","13.48"
"2019-10-01","20333","2041","10.04"
"2019-10-02","20719","2434","11.75"
"2019-10-03","21609","2847","13.18"
"2019-10-04","21657","3102","14.32"
"2019-10-05","17120","1604","9.37"
"2019-10-06","20800","2708","13.02"
"2019-10-07","21579","2939","13.62"
"2019-10-08","20710","2182","10.54"
"2019-10-09","20860","3051","14.63"
"2019-10-10","21284","4964","23.32"
"2019-10-11","21378","6218","29.09"
"2019-10-12","17168","1571","9.15"
"2019-10-13","20957","2773","13.23"
"2019-10-14","21651","2320","10.72"
"2019-10-15","20773","2638","12.70"
"2019-10-16","20861","4014","19.24"
"2019-10-17","21390","3752","17.54"
"2019-10-18","21623","3049","14.10"
"2019-10-19","17166","2019","11.76"
"2019-10-20","20713","4464","21.55"
"2019-10-21","21328","5599","26.25"
"2019-10-22","20647","3633","17.60"
"2019-10-23","20861","2322","11.13"
"2019-10-24","21141","3760","17.79"
"2019-10-25","21482","4410","20.53"
"2019-10-26","16758","2212","13.20"
"2019-10-27","20187","4069","20.16"
"2019-10-28","20551","3142","15.29"
"2019-10-29","19204","4270","22.23"
"2019-10-30","19526","5913","30.28"
"2019-10-31","17601","5026","28.56"
"2019-11-01","19950","2990","14.99"
"2019-11-02","16741","1680","10.04"
"2019-11-03","20506","1967","9.59"
"2019-11-04","21347","1874","8.78"
"2019-11-05","19898","1928","9.69"
"2019-11-06","20301","2286","11.26"
"2019-11-07","21490","4030","18.75"
"2019-11-08","21501","3782","17.59"
"2019-11-09","16768","1568","9.35"
"2019-11-10","20754","2070","9.97"
"2019-11-11","20163","5490","27.23"
"2019-11-12","20382","5317","26.09"
"2019-11-13","20679","2745","13.27"
"2019-11-14","21537","2924","13.58"
"2019-11-15","21562","2975","13.80"
"2019-11-16","16808","1496","8.90"
"2019-11-17","20826","2259","10.85"
"2019-11-18","21517","3021","14.04"
"2019-11-19","20664","2094","10.13"
"2019-11-20","20840","2964","14.22"
"2019-11-21","21516","3110","14.45"
"2019-11-22","21666","3437","15.86"
"2019-11-23","18252","1828","10.02"
"2019-11-24","20276","1977","9.75"
"2019-11-25","20347","2122","10.43"
"2019-11-26","20449","3603","17.62"
"2019-11-27","21605","4836","22.38"
"2019-11-28","12669","1560","12.31"
"2019-11-29","15237","1978","12.98"
"2019-11-30","20856","5740","27.52"
"2019-12-01","22080","7565","34.26"
"2019-12-02","21216","6506","30.67"
"2019-12-03","20091","4477","22.28"
"2019-12-04","20056","3765","18.77"
"2019-12-05","21161","2719","12.85"
"2019-12-06","21158","3089","14.60"
"2019-12-07","16009","1626","10.16"
"2019-12-08","20188","2359","11.69"
"2019-12-09","20674","5167","24.99"
"2019-12-10","19645","3202","16.30"
"2019-12-11","20094","4759","23.68"
"2019-12-12","21170","3253","15.37"
"2019-12-13","21125","4580","21.68"
"2019-12-14","16079","3026","18.82"
"2019-12-15","20143","3164","15.71"
"2019-12-16","20830","4859","23.33"
"2019-12-17","19407","5443","28.05"
"2019-12-18","20312","4760","23.43"
"2019-12-19","21219","4383","20.66"
"2019-12-20","21323","4181","19.61"
"2019-12-21","19917","3761","18.88"
"2019-12-22","20839","5388","25.86"
"2019-12-23","20856","5385","25.82"
"2019-12-24","16605","2316","13.95"
"2019-12-25","16418","1633","9.95"
"2019-12-26","20932","4139","19.77"
"2019-12-27","20892","3474","16.63"
"2019-12-28","19576","5279","26.97"
"2019-12-29","20630","4892","23.71"
"2019-12-30","20717","5055","24.40"
"2019-12-31","17250","2740","15.88"
"2022-01-01","13501","5084","37.66"
"2022-01-02","16607","8217","49.48"
"2022-01-03","16186","6891","42.57"
"2022-01-04","15590","5345","34.28"
"2022-01-05","15259","4712","30.88"
"2022-01-06","16190","4150","25.63"
"2022-01-07","15931","4721","29.63"
"2022-01-08","14164","3251","22.95"
"2022-01-09","17037","3675","21.57"
"2022-01-10","17142","2237","13.05"
"2022-01-11","15740","1462","9.29"
"2022-01-12","16372","1103","6.74"
"2022-01-13","17698","1709","9.66"
"2022-01-14","18070","2704","14.96"
"2022-01-15","14409","2235","15.51"
"2022-01-16","14128","3391","24.00"
"2022-01-17","16913","3171","18.75"
"2022-01-18","16142","1228","7.61"
"2022-01-19","16444","1898","11.54"
"2022-01-20","17838","3040","17.04"
"2022-01-21","17867","2800","15.67"
"2022-01-22","14495","2031","14.01"
"2022-01-23","17694","3555","20.09"
"2022-01-24","17654","2922","16.55"
"2022-01-25","16021","1474","9.20"
"2022-01-26","16641","1311","7.88"
"2022-01-27","18281","2440","13.35"
"2022-01-28","17080","4476","26.21"
"2022-01-29","12004","1348","11.23"
"2022-01-30","16683","2380","14.27"
"2022-01-31","17748","2091","11.78"
"2022-02-01","16077","1265","7.87"
"2022-02-02","14656","2982","20.35"
"2022-02-03","13789","2858","20.73"
"2022-02-04","15031","4371","29.08"
"2022-02-05","13872","2930","21.12"
"2022-02-06","17394","3090","17.76"
"2022-02-07","18051","3416","18.92"
"2022-02-08","16443","1119","6.81"
"2022-02-09","16920","1137","6.72"
"2022-02-10","18504","2179","11.78"
"2022-02-11","18494","2502","13.53"
"2022-02-12","15175","1855","12.22"
"2022-02-13","17099","4966","29.04"
"2022-02-14","18450","3193","17.31"
"2022-02-15","16618","1624","9.77"
"2022-02-16","17138","1890","11.03"
"2022-02-17","17695","4666","26.37"
"2022-02-18","18669","6347","34.00"
"2022-02-19","15656","3641","23.26"
"2022-02-20","17493","2647","15.13"
"2022-02-21","18781","3422","18.22"
"2022-02-22","17038","5676","33.31"
"2022-02-23","16197","4071","25.13"
"2022-02-24","17006","5591","32.88"
"2022-02-25","17750","6061","34.15"
"2022-02-26","15889","3283","20.66"
"2022-02-27","18455","3247","17.59"
"2022-02-28","18806","2585","13.75"
"2022-03-01","17167","1712","9.97"
"2022-03-02","17547","1462","8.33"
"2022-03-03","18662","2302","12.34"
