"dep_hour","delay_rate","total_flights","delayed_flights_count"
0,"18.90","63711","12044"
1,"20.81","21725","4522"
2,"23.50","8501","1998"
3,"22.29","5993","1336"
4,"20.67","2971","614"
5,"8.88","967624","85911"
6,"10.04","2561815","257163"
7,"12.54","2495950","313055"
8,"14.06","2447879","344155"
9,"15.35","2056972","315809"
10,"16.53","2249493","371857"
11,"17.93","2234467","400554"
12,"19.51","2177754","424879"
13,"21.35","2135280","455928"
14,"23.57","2071770","488235"
15,"25.14","2087246","524751"
16,"26.77","2063557","552408"
17,"27.75","2244504","622818"
18,"28.89","2149921","621078"
19,"29.46","1938213","570954"
20,"29.46","1634692","481656"
21,"28.20","1198068","337850"
22,"26.57","888969","236241"
23,"21.25","293198","62300"
24,"50.00","2","1"
