"year","month","year_month","total_flights","delayed_flights","delay_rate"
2019,1,"2019-01-01","565963","105222","18.59"
2019,2,"2019-02-01","516314","119477","23.14"
2019,3,"2019-03-01","618505","106277","17.18"
2019,4,"2019-04-01","596020","108518","18.21"
2019,5,"2019-05-01","621339","126283","20.32"
2019,6,"2019-06-01","620887","153358","24.70"
2019,7,"2019-07-01","643781","135630","21.07"
2019,8,"2019-08-01","645351","133278","20.65"
2019,9,"2019-09-01","594716","83568","14.05"
2019,10,"2019-10-01","629637","105046","16.68"
2019,11,"2019-11-01","597107","85651","14.34"
2019,12,"2019-12-01","618612","126945","20.52"
2022,1,"2022-01-01","503529","97052","19.27"
2022,2,"2022-02-01","473146","92614","19.57"
2022,3,"2022-03-01","554710","119816","21.60"
2022,4,"2022-04-01","542117","120962","22.31"
2022,5,"2022-05-01","565955","119498","21.11"
2022,6,"2022-06-01","557753","134598","24.13"
2022,7,"2022-07-01","582549","138121","23.71"
2022,8,"2022-08-01","573619","128520","22.41"
2022,9,"2022-09-01","547728","90875","16.59"
2022,10,"2022-10-01","566492","90057","15.90"
2022,11,"2022-11-01","539199","102278","18.97"
2022,12,"2022-12-01","525216","142407","27.11"
2023,1,"2023-01-01","527197","116713","22.14"
2023,2,"2023-02-01","492747","92969","18.87"
2023,3,"2023-03-01","571533","136044","23.80"
2023,4,"2023-04-01","550249","125882","22.88"
2023,5,"2023-05-01","575430","104119","18.09"
2023,6,"2023-06-01","562804","152268","27.06"
2023,7,"2023-07-01","585058","167080","28.56"
2023,8,"2023-08-01","592142","128439","21.69"
2023,9,"2023-09-01","560887","104699","18.67"
2023,10,"2023-10-01","596003","92985","15.60"
2023,11,"2023-11-01","562413","76348","13.58"
2023,12,"2023-12-01","566941","89153","15.73"
2024,1,"2024-01-01","525370","126410","24.06"
2024,2,"2024-02-01","515269","82036","15.92"
2024,3,"2024-03-01","585413","122032","20.85"
2024,4,"2024-04-01","576935","109954","19.06"
2024,5,"2024-05-01","599226","158276","26.41"
2024,6,"2024-06-01","601272","149945","24.94"
2024,7,"2024-07-01","613938","181865","29.62"
2024,8,"2024-08-01","604303","141812","23.47"
2024,9,"2024-09-01","578262","89678","15.51"
2024,10,"2024-10-01","608514","80343","13.20"
2024,11,"2024-11-01","571933","83900","14.67"
2024,12,"2024-12-01","584832","123721","21.15"
2025,1,"2025-01-01","522269","98130","18.79"
2025,2,"2025-02-01","496476","103102","20.77"
2025,3,"2025-03-01","592301","116034","19.59"
2025,4,"2025-04-01","577730","113604","19.66"
2025,5,"2025-05-01","597574","141038","23.60"
2025,6,"2025-06-01","599472","169405","28.26"
2025,7,"2025-07-01","612811","177012","28.89"
2025,8,"2025-08-01","593733","133920","22.56"
2025,9,"2025-09-01","558329","92859","16.63"
2025,10,"2025-10-01","601570","122251","20.32"
2025,11,"2025-11-01","555296","114170","20.56"
2025,12,"2025-12-01","571924","153113","26.77"
2026,1,"2026-01-01","517222","107475","20.78"
2026,2,"2026-02-01","502396","99251","19.76"
2026,3,"2026-03-01","592256","144031","24.32"
