"year","month","delay_rate_pct","total_flights"
2019,1,"18.59","565963"
2019,2,"23.14","516314"
2019,3,"17.18","618505"
2019,4,"18.21","596020"
2019,5,"20.32","621339"
2019,6,"24.70","620887"
2019,7,"21.07","643781"
2019,8,"20.65","645351"
2019,9,"14.05","594716"
2019,10,"16.68","629637"
2019,11,"14.34","597107"
2019,12,"20.52","618612"
2022,1,"19.27","503529"
2022,2,"19.57","473146"
2022,3,"21.60","554710"
2022,4,"22.31","542117"
2022,5,"21.11","565955"
2022,6,"24.13","557753"
2022,7,"23.71","582549"
2022,8,"22.41","573619"
2022,9,"16.59","547728"
2022,10,"15.90","566492"
2022,11,"18.97","539199"
2022,12,"27.11","525216"
2023,1,"22.14","527197"
2023,2,"18.87","492747"
2023,3,"23.80","571533"
2023,4,"22.88","550249"
2023,5,"18.09","575430"
2023,6,"27.06","562804"
2023,7,"28.56","585058"
2023,8,"21.69","592142"
2023,9,"18.67","560887"
2023,10,"15.60","596003"
2023,11,"13.58","562413"
2023,12,"15.73","566941"
2024,1,"24.06","525370"
2024,2,"15.92","515269"
2024,3,"20.85","585413"
2024,4,"19.06","576935"
2024,5,"26.41","599226"
2024,6,"24.94","601272"
2024,7,"29.62","613938"
2024,8,"23.47","604303"
2024,9,"15.51","578262"
2024,10,"13.20","608514"
2024,11,"14.67","571933"
2024,12,"21.15","584832"
2025,1,"18.79","522269"
2025,2,"20.77","496476"
2025,3,"19.59","592301"
2025,4,"19.66","577730"
2025,5,"23.60","597574"
2025,6,"28.26","599472"
2025,7,"28.89","612811"
2025,8,"22.56","593733"
2025,9,"16.63","558329"
2025,10,"20.32","601570"
2025,11,"20.56","555296"
2025,12,"26.77","571924"
2026,1,"20.78","517222"
2026,2,"19.76","502396"
2026,3,"24.32","592256"
