"year","quarter","delay_rate_pct","total_flights"
2019,1,"19.46","1700782"
2019,2,"21.12","1838246"
2019,3,"18.71","1883848"
2019,4,"17.21","1845356"
2022,1,"20.21","1531385"
2022,2,"22.51","1665825"
2022,3,"20.98","1703896"
2022,4,"20.52","1630907"
2023,1,"21.72","1591477"
2023,2,"22.64","1688483"
2023,3,"23.03","1738087"
2023,4,"14.98","1725357"
2024,1,"20.32","1626052"
2024,2,"23.53","1777433"
2024,3,"23.01","1796503"
2024,4,"16.31","1765279"
2025,1,"19.69","1611046"
2025,2,"23.89","1774776"
2025,3,"22.88","1764873"
2025,4,"22.53","1728790"
2026,1,"21.76","1611874"
