airline_name,scheduled_flights,cancelled_flights,diverted_flights,cancellation_rate_pct,diversion_rate_pct
Alaska Airlines,1284036,0,0,0.00,0.00
American Airlines,4840547,0,0,0.00,0.00
Delta Air Lines,5080406,0,0,0.00,0.00
Envoy Air,1419675,0,0,0.00,0.00
JetBlue Airways,1339044,0,0,0.00,0.00
PSA Airlines,1193638,0,0,0.00,0.00
Republic Airways,1619720,0,0,0.00,0.00
SkyWest Airlines,3953437,0,0,0.00,0.00
Southwest Airlines,7112899,0,0,0.00,0.00
Spirit Airlines,1164786,0,0,0.00,0.00
United Airlines,3674257,0,0,0.00,0.00
