origin,origin_city_name,total_operated_flights,delayed_flights,delay_rate_pct,avg_dep_delay
MDW,"Chicago, IL",389484,108238,27.79,14.46
BWI,"Baltimore, MD",472070,129707,27.48,14.92
FLL,"Fort Lauderdale, FL",442736,118582,26.78,17.36
DAL,"Dallas, TX",350606,92173,26.29,13.60
MCO,"Orlando, FL",757700,194180,25.63,16.79
DEN,"Denver, CO",1413067,359013,25.41,15.09
DFW,"Dallas/Fort Worth, TX",1456773,362946,24.91,16.23
MIA,"Miami, FL",510534,125743,24.63,16.61
LAS,"Las Vegas, NV",889994,216550,24.33,13.18
HOU,"Houston, TX",273289,66398,24.30,12.37
EWR,"Newark, NJ",632249,152237,24.08,16.30
STL,"St. Louis, MO",312638,69882,22.35,12.50
CLT,"Charlotte, NC",1016240,225579,22.20,13.80
ORD,"Chicago, IL",1431940,315898,22.06,14.62
JFK,"New York, NY",608901,133011,21.84,14.53
AUS,"Austin, TX",414054,90340,21.82,13.41
BOS,"Boston, MA",697334,150696,21.61,13.66
IAH,"Houston, TX",638814,137110,21.46,14.51
MSY,"New Orleans, LA",252104,54087,21.45,12.94
BNA,"Nashville, TN",463289,99192,21.41,12.15
OAK,"Oakland, CA",219441,46487,21.18,9.55
TPA,"Tampa, FL",377669,79209,20.97,13.20
LGA,"New York, NY",774520,160532,20.73,13.13
PHX,"Phoenix, AZ",896411,184928,20.63,11.03
DCA,"Washington, DC",683617,139363,20.39,12.46
SFO,"San Francisco, CA",704126,143398,20.37,11.92
PHL,"Philadelphia, PA",484338,97585,20.15,13.08
SAN,"San Diego, CA",454208,90860,20.00,10.52
ATL,"Atlanta, GA",1683638,334508,19.87,11.03
RDU,"Raleigh/Durham, NC",288166,55553,19.28,12.79
SNA,"Santa Ana, CA",217451,41296,18.99,10.15
SEA,"Seattle, WA",798438,150161,18.81,8.87
LAX,"Los Angeles, CA",977090,180211,18.44,10.27
MCI,"Kansas City, MO",241323,43391,17.98,10.20
CLE,"Cleveland, OH",206447,36686,17.77,10.89
DTW,"Detroit, MI",658101,115365,17.53,10.82
SMF,"Sacramento, CA",267698,46708,17.45,8.19
IAD,"Washington, DC",281240,47953,17.05,11.66
MSP,"Minneapolis, MN",633690,106247,16.77,9.83
CMH,"Columbus, OH",210583,35213,16.72,9.34
SJC,"San Jose, CA",260821,43384,16.63,6.80
IND,"Indianapolis, IN",225684,37463,16.60,9.52
PIT,"Pittsburgh, PA",215537,34274,15.90,8.68
SLC,"Salt Lake City, UT",558261,86376,15.47,8.23
HNL,"Honolulu, HI",286888,43493,15.16,6.73
PDX,"Portland, OR",297219,43854,14.75,6.81
