origin_city_name,dest_city_name,route,total_operated_flights,delayed_flights,delay_rate_pct
"Chicago, IL","New York, NY",ORD_LGA,56562,13732,24.28
"Las Vegas, NV","Los Angeles, CA",LAS_LAX,50539,11395,22.55
"Los Angeles, CA","Las Vegas, NV",LAX_LAS,50555,11153,22.06
"Los Angeles, CA","San Francisco, CA",LAX_SFO,59097,12957,21.92
"New York, NY","Chicago, IL",LGA_ORD,56699,11863,20.92
"San Francisco, CA","Los Angeles, CA",SFO_LAX,59108,12245,20.72
"Los Angeles, CA","New York, NY",LAX_JFK,52588,10690,20.33
"New York, NY","Los Angeles, CA",JFK_LAX,52673,9188,17.44
"Kahului, HI","Honolulu, HI",OGG_HNL,55795,7296,13.08
"Honolulu, HI","Kahului, HI",HNL_OGG,55853,6604,11.82
