dep_hour,total_operated_flights,delayed_flights,delay_rate_pct
0,61533,13944,22.66
1,20843,4675,22.43
2,8125,2006,24.69
3,5845,1447,24.76
4,2926,616,21.05
5,924267,69221,7.49
6,2452875,192232,7.84
7,2376845,237480,9.99
8,2335785,279038,11.95
9,1964158,279770,14.24
10,2148100,347249,16.17
11,2134392,379757,17.79
12,2078276,403166,19.40
13,2038021,436588,21.42
14,1979235,468279,23.66
15,1992992,503395,25.26
16,1968508,525383,26.69
17,2141018,588373,27.48
18,2055326,601021,29.24
19,1849664,569429,30.79
20,1566855,485519,30.99
21,1145182,349014,30.48
22,856326,246564,28.79
23,281304,67428,23.97
