year,airline_name,total_operated_flights,delayed_flights,delay_rate_pct
2019,Alaska Airlines,261015,41646,15.96
2022,Alaska Airlines,221491,39347,17.76
2023,Alaska Airlines,242643,43012,17.73
2024,Alaska Airlines,240323,48225,20.07
2025,Alaska Airlines,241927,50361,20.82
2019,Allegiant Air,104443,19941,19.09
2022,Allegiant Air,112466,34250,30.45
2023,Allegiant Air,114425,27102,23.69
2024,Allegiant Air,114882,24359,21.20
2025,Allegiant Air,129892,30334,23.35
2019,American Airlines,924242,184347,19.95
2022,American Airlines,845937,183341,21.67
2023,American Airlines,928058,204356,22.02
2024,American Airlines,966116,246698,25.54
2025,American Airlines,952841,238853,25.07
2019,Delta Air Lines,988025,141730,14.34
2022,Delta Air Lines,877192,145330,16.57
2023,Delta Air Lines,972931,166444,17.11
2024,Delta Air Lines,997846,170775,17.11
2025,Delta Air Lines,1012427,195999,19.36
2019,Endeavor Air,252348,42388,16.80
2022,Endeavor Air,223247,32200,14.42
2023,Endeavor Air,196905,26267,13.34
2024,Endeavor Air,195072,28985,14.86
2019,Envoy Air,314658,56387,17.92
2022,Envoy Air,241939,37302,15.42
2023,Envoy Air,224695,35069,15.61
2024,Envoy Air,275317,51474,18.70
2025,Envoy Air,291835,53750,18.42
2019,ExpressJet Airlines,128180,27984,21.83
2019,Frontier Airlines,133061,34252,25.74
2022,Frontier Airlines,150747,48199,31.97
2023,Frontier Airlines,173459,54197,31.24
2024,Frontier Airlines,203482,56262,27.65
2025,Frontier Airlines,194192,52297,26.93
2019,Hawaiian Airlines,83689,7196,8.60
2022,Hawaiian Airlines,73102,15572,21.30
2023,Hawaiian Airlines,79842,16269,20.38
2024,Hawaiian Airlines,77633,10314,13.29
2025,Hawaiian Airlines,79335,12066,15.21
2022,Horizon Air,87121,12886,14.79
2019,JetBlue Airways,292724,75013,25.63
2022,JetBlue Airways,261862,84912,32.43
2023,JetBlue Airways,267915,83936,31.33
2024,JetBlue Airways,235683,60614,25.72
2025,JetBlue Airways,226703,57010,25.15
2019,Mesa Airlines,220586,42383,19.21
2022,Mesa Airlines,110665,21653,19.57
2019,PSA Airlines,281647,53421,18.97
2022,PSA Airlines,207258,35940,17.34
2023,PSA Airlines,191072,27883,14.59
2024,PSA Airlines,223673,44130,19.73
2025,PSA Airlines,236682,60605,25.61
2019,Republic Airways,320615,52139,16.26
2022,Republic Airways,300851,49558,16.47
2023,Republic Airways,286490,30821,10.76
2024,Republic Airways,295306,34421,11.66
2025,Republic Airways,334044,60064,17.98
2019,SkyWest Airlines,815839,142381,17.45
2022,SkyWest Airlines,718249,111142,15.47
2023,SkyWest Airlines,664861,95049,14.30
2024,SkyWest Airlines,733886,125492,17.10
2025,SkyWest Airlines,825202,151859,18.40
2019,Southwest Airlines,1327562,274850,20.70
2022,Southwest Airlines,1261865,363593,28.81
2023,Southwest Airlines,1421238,350200,24.64
2024,Southwest Airlines,1404597,327846,23.34
2025,Southwest Airlines,1376837,338453,24.58
2019,Spirit Airlines,200891,37312,18.57
2022,Spirit Airlines,225032,53478,23.76
2023,Spirit Airlines,258838,76382,29.51
2024,Spirit Airlines,255633,63764,24.94
2025,Spirit Airlines,191191,40995,21.44
2019,United Airlines,618707,120089,19.41
2022,United Airlines,612989,121769,19.86
2023,United Airlines,720032,143467,19.93
2024,United Airlines,745818,141407,18.96
2025,United Airlines,786377,149797,19.05
